iter	Passed	Remaining
414	972	1371
415	974	1368
416	977	1366
417	979	1364
418	982	1361
419	984	1359
420	987	1358
421	990	1356
422	992	1353
423	994	1351
424	996	1348
425	999	1346
426	1001	1343
427	1004	1341
428	1006	1339
429	1008	1337
430	1011	1335
431	1013	1332
432	1015	1329
433	1018	1327
434	1020	1325
435	1022	1322
436	1024	1320
437	1027	1317
438	1029	1315
439	1031	1312
440	1033	1310
441	1036	1308
442	1038	1305
443	1040	1303
444	1043	1301
445	1045	1298
446	1047	1296
447	1050	1294
448	1053	1292
449	1055	1290
450	1057	1287
451	1059	1284
452	1061	1282
453	1064	1279
454	1066	1277
455	1069	1275
456	1070	1272
457	1072	1269
458	1075	1267
459	1077	1264
460	1079	1262
461	1082	1260
462	1084	1257
463	1086	1254
464	1088	1252
465	1090	1249
466	1093	1247
467	1095	1244
468	1097	1242
469	1099	1240
470	1102	1238
471	1104	1235
472	1106	1232
473	1108	1230
474	1111	1228
475	1114	1226
476	1116	1223
477	1119	1222
478	1121	1219
479	1123	1217
480	1125	1214
481	1128	1212
482	1131	1210
483	1133	1208
484	1134	1205
485	1137	1203
486	1140	1201
487	1142	1198
488	1144	1195
489	1146	1193
490	1148	1190
491	1151	1188
492	1154	1186
493	1156	1184
494	1159	1182
495	1161	1180
496	1164	1178
497	1167	1176
498	1169	1174
499	1171	1171
500	1174	1169
501	1176	1167
502	1178	1164
503	1181	1163
504	1184	1160
505	1186	1158
506	1188	1156
507	1191	1154
508	1194	1152
509	1197	1150
510	1199	1147
511	1200	1144
512	1203	1142
513	1206	1140
514	1208	1138
515	1210	1135
516	1213	1133
517	1216	1131
518	1218	1129
519	1219	1126
520	1222	1123
521	1224	1121
522	1227	1119
523	1229	1117
524	1232	1114
525	1234	1112
526	1236	1109
527	1239	1107
528	1241	1105
529	1243	1102
530	1245	1100
531	1248	1097
532	1250	1095
533	1252	1093
534	1255	1091
535	1257	1088
536	1260	1086
537	1262	1084
538	1264	1081
539	1267	1079
540	1268	1076
541	1271	1074
542	1273	1071
543	1276	1069
544	1277	1066
545	1279	1063
546	1281	1061
547	1283	1058
548	1286	1056
549	1289	1054
550	1291	1052
551	1294	1050
552	1296	1047
553	1298	1045
554	1300	1042
555	1302	1040
556	1304	1037
557	1307	1035
558	1309	1032
559	1311	1030
560	1314	1028
561	1316	1025
562	1319	1023
563	1321	1021
564	1324	1019
565	1326	1016
566	1328	1014
567	1329	1011
568	1332	1009
569	1334	1006
570	1337	1004
571	1339	1002
572	1341	999
573	1344	997
574	1346	995
575	1348	992
576	1350	990
577	1352	987
578	1355	985
579	1357	983
580	1359	980
581	1361	978
582	1363	975
583	1366	973
584	1368	970
585	1370	968
586	1372	965
587	1374	963
588	1377	960
589	1379	958
590	1382	956
591	1383	953
592	1385	951
593	1388	948
594	1390	946
595	1392	944
596	1395	941
597	1397	939
598	1400	937
599	1402	935
600	1404	932
601	1407	930
602	1409	927
603	1411	925
604	1413	923
605	1416	920
606	1418	918
607	1420	915
608	1422	913
609	1425	911
610	1427	908
611	1429	906
612	1432	904
613	1434	901
614	1436	899
615	1438	896
616	1440	893
617	1442	891
618	1444	889
619	1447	887
620	1449	884
621	1452	882
622	1454	879
623	1456	877
624	1458	875
625	1460	872
626	1463	870
627	1465	868
628	1468	865
629	1470	863
630	1472	860
631	1474	858
632	1477	856
633	1479	854
634	1481	851
635	1483	849
636	1485	846
637	1488	844
638	1490	842
639	1492	839
640	1495	837
641	1497	835
642	1500	832
643	1502	830
644	1504	828
645	1507	825
646	1509	823
647	1511	821
648	1514	818
649	1516	816
650	1518	814
651	1521	811
652	1524	809
653	1526	807
654	1529	805
655	1531	803
656	1533	800
657	1536	798
658	1538	796
659	1541	793
660	1543	791
661	1546	789
662	1548	787
663	1550	784
664	1552	782
665	1555	779
666	1557	777
667	1559	775
668	1561	772
669	1563	770
670	1566	767
671	1568	765
672	1570	762
673	1572	760
674	1575	758
675	1577	756
676	1579	753
677	1581	750
678	1583	748
679	1585	746
680	1587	743
681	1590	741
682	1592	739
683	1594	736
684	1597	734
685	1599	732
686	1601	729
687	1604	727
688	1606	725
689	1608	722
690	1611	720
691	1613	718
692	1615	715
693	1618	713
694	1620	711
695	1622	708
696	1625	706
697	1627	704
698	1629	701
699	1632	699
700	1634	697
701	1637	695
702	1639	692
703	1642	690
704	1644	688
705	1646	685
706	1648	683
707	1650	680
708	1653	678
709	1655	676
710	1657	673
711	1660	671
712	1661	668
713	1664	666
714	1666	664
715	1669	662
716	1671	659
717	1673	657
718	1676	655
719	1678	652
720	1680	650
721	1682	648
722	1685	645
723	1687	643
724	1689	640
725	1692	638
726	1694	636
727	1696	633
728	1699	631
729	1701	629
730	1703	626
731	1706	624
732	1708	622
733	1710	619
734	1712	617
735	1715	615
736	1717	612
737	1720	610
738	1721	608
739	1724	605
740	1725	603
741	1727	600
742	1729	598
743	1731	595
744	1733	593
745	1735	590
746	1737	588
747	1740	586
748	1742	583
749	1744	581
750	1747	579
751	1749	576
752	1751	574
753	1753	572
754	1755	569
755	1758	567
756	1760	564
757	1762	562
758	1764	560
759	1766	557
760	1768	555
761	1770	553
762	1773	550
763	1775	548
764	1777	546
765	1780	543
766	1782	541
767	1784	539
768	1786	536
769	1788	534
770	1791	531
771	1793	529
772	1795	527
773	1798	525
774	1800	522
775	1803	520
776	1805	518
777	1807	515
778	1809	513
779	1811	511
780	1814	508
781	1816	506
782	1818	504
783	1821	501
784	1824	499
785	1826	497
786	1829	495
787	1831	492
788	1834	490
789	1836	488
790	1839	485
791	1841	483
792	1844	481
793	1846	479
794	1848	476
795	1850	474
796	1853	472
797	1855	469
798	1858	467
799	1860	465
800	1862	462
801	1865	460
802	1867	458
803	1869	455
804	1872	453
805	1874	451
806	1876	448
807	1878	446
808	1880	444
809	1883	441
810	1885	439
811	1888	437
812	1890	434
813	1893	432
814	1895	430
815	1897	427
816	1899	425
817	1903	423
818	1905	421
819	1908	418
820	1910	416
821	1913	414
822	1915	411
823	1917	409
824	1920	407
825	1922	405
826	1925	402
827	1927	400
828	1929	398
829	1932	395
830	1934	393
831	1936	391
832	1938	388
833	1941	386
834	1943	384
835	1945	381
836	1948	379
837	1950	377
838	1952	374
839	1955	372
840	1957	370
841	1960	367
842	1962	365
843	1964	363
844	1967	360
845	1969	358
846	1983	358
847	1996	357
848	2004	356
849	2009	354
850	2014	352
851	2018	350
852	2022	348
853	2024	346
854	2026	343
855	2029	341
856	2033	339
857	2040	337
858	2042	335
859	2044	332
860	2047	330
861	2049	328
862	2051	325
863	2054	323
864	2056	320
865	2058	318
866	2061	316
867	2063	313
868	2065	311
869	2068	309
870	2070	306
871	2072	304
872	2074	301
873	2076	299
874	2078	296
875	2080	294
876	2082	292
877	2084	289
878	2086	287
879	2088	284
880	2090	282
881	2092	280
882	2095	277
883	2097	275
884	2099	272
885	2101	270
886	2103	268
887	2105	265
888	2108	263
889	2110	260
890	2112	258
891	2115	256
892	2117	253
893	2119	251
894	2121	248
895	2123	246
896	2125	244
897	2127	241
898	2129	239
899	2131	236
900	2133	234
901	2135	232
902	2138	229
903	2140	227
904	2142	224
905	2145	222
906	2147	220
907	2150	217
908	2153	215
909	2155	213
910	2158	210
911	2161	208
912	2164	206
913	2166	203
914	2169	201
915	2171	199
916	2173	196
917	2176	194
918	2179	192
919	2182	189
920	2185	187
921	2188	185
922	2191	182
923	2194	180
924	2197	178
925	2199	175
926	2202	173
927	2205	171
928	2207	168
929	2210	166
930	2213	164
931	2215	161
932	2219	159
933	2222	157
934	2225	154
935	2229	152
936	2234	150
937	2237	147
938	2239	145
939	2241	143
940	2244	140
941	2247	138
942	2250	136
943	2253	133
944	2256	131
945	2258	128
946	2261	126
947	2264	124
948	2267	121
949	2270	119
950	2273	117
951	2276	114
952	2278	112
953	2281	110
954	2284	107
955	2286	105
956	2289	102
957	2291	100
958	2294	98
959	2297	95
960	2301	93
961	2303	90
962	2305	88
963	2308	86
964	2310	83
965	2312	81
966	2315	79
967	2317	76
968	2320	74
969	2322	71
970	2324	69
971	2326	67
972	2329	64
973	2332	62
974	2333	59
975	2335	57
976	2338	55
977	2340	52
978	2342	50
979	2346	47
980	2348	45
981	2351	43
982	2353	40
983	2355	38
984	2357	35
985	2360	33
986	2363	31
987	2365	28
988	2368	26
989	2370	23
990	2372	21
991	2374	19
992	2376	16
993	2379	14
994	2381	11
995	2383	9
996	2385	7
997	2387	4
998	2389	2
999	2393	0
3
991	2587	20
992	2590	18
993	2592	15
994	2595	13
995	2597	10
996	2600	7
997	2603	5
998	2606	2
999	2608	0
