iter	Logloss
0	0.6910719872
1	0.6886224747
2	0.6864086787
3	0.6840410233
4	0.6822470029
5	0.6796220144
6	0.677292188
7	0.6750446161
8	0.672964255
9	0.6706999938
10	0.6687955062
11	0.6670986811
12	0.6649376949
13	0.6628263394
14	0.6606216828
15	0.6593156258
16	0.6579458714
17	0.6564245224
18	0.6554315885
19	0.6536379258
20	0.6512609323
21	0.6491448879
22	0.6473310391
23	0.6456262271
24	0.6439066728
25	0.6420816978
26	0.6403665543
27	0.6385220687
28	0.6363281409
29	0.6346164544
30	0.632956783
31	0.6315528552
32	0.628942728
33	0.6268759171
34	0.6253216664
35	0.6242300669
36	0.6225647529
37	0.6210134029
38	0.6186996698
39	0.6167781353
40	0.614950935
41	0.6133679152
42	0.6121980349
43	0.6108683745
44	0.6086591085
45	0.6070635716
46	0.6051906745
47	0.6036543846
48	0.6023760637
49	0.6007737716
50	0.5993776321
51	0.5978183746
52	0.5959266027
53	0.5947633584
54	0.5936512152
55	0.5921426614
56	0.5904483398
57	0.5891537666
58	0.5868697564
59	0.5852925777
60	0.5834215482
61	0.5820061366
62	0.5805485249
63	0.5781562328
64	0.5767498811
65	0.5756471554
66	0.5738870303
67	0.5719300906
68	0.5706284841
69	0.5693645477
70	0.5684060256
71	0.5668242772
72	0.5655315717
73	0.564308087
74	0.5635610421
75	0.5613265832
76	0.5599010785
77	0.5585219065
78	0.5565181971
79	0.5548848311
80	0.5533761581
81	0.5521600644
82	0.5506677628
83	0.5492486159
84	0.5478872061
85	0.5468265216
86	0.545544227
87	0.5444010496
88	0.5434693098
89	0.5421624184
90	0.5408706665
91	0.5397330125
92	0.5384126107
93	0.5370794137
94	0.5359675884
95	0.5350131989
96	0.5344753265
97	0.5340154966
98	0.5326401393
99	0.5315257311
100	0.5303972562
101	0.5296158791
102	0.5286153952
103	0.5274682045
104	0.5265572071
105	0.5250688394
106	0.5236844222
107	0.5226136843
108	0.5215731064
109	0.5208120743
110	0.5197285016
111	0.5190061728
112	0.5179301898
113	0.5165565014
114	0.5156433185
115	0.5151689053
116	0.5138616959
117	0.5129625003
118	0.5119840304
119	0.510994037
120	0.5098756949
121	0.5087009668
122	0.5073106686
123	0.5063180923
124	0.5057214499
125	0.5046171347
126	0.5035349528
127	0.5028495789
128	0.5020825466
129	0.5010501146
130	0.4996943474
131	0.4986551603
132	0.4969917138
133	0.4958201647
134	0.4946822723
135	0.4933679104
136	0.4923620224
137	0.4911151727
138	0.4901376565
139	0.489275972
140	0.4877314568
141	0.4865957101
142	0.4856940508
143	0.4849025806
144	0.4837708871
145	0.4834937255
146	0.481793046
147	0.4808806578
148	0.4802889824
149	0.4790395896
150	0.4780735572
151	0.4771557649
152	0.4763482809
153	0.4754279057
154	0.4744280179
155	0.4737048149
156	0.4727724393
157	0.4716300964
158	0.470603466
159	0.4697077672
160	0.4686772029
161	0.4679109653
162	0.4670417309
163	0.465985775
164	0.4652127822
165	0.4645782709
166	0.4636268218
167	0.4627950191
168	0.4620022376
169	0.4613582293
170	0.4603985945
171	0.4596257607
172	0.4585594336
173	0.4582351844
174	0.4575419426
175	0.4565372467
176	0.455196023
177	0.4546806415
178	0.453783234
179	0.4530140559
180	0.4523274899
181	0.4516785145
182	0.4510757923
183	0.4504434268
184	0.4499580463
185	0.449387153
186	0.4483012756
187	0.4478245576
188	0.4469459852
189	0.4462257226
190	0.4455794493
191	0.4445332686
192	0.4437220494
193	0.4430304368
194	0.4422760804
195	0.441360116
196	0.4408259392
197	0.4400763512
198	0.4393596649
199	0.4386688073
200	0.4379849831
201	0.4372383753
202	0.4365557035
203	0.435755372
204	0.4350863298
205	0.4346332947
206	0.4339500268
207	0.4333041509
208	0.4324547052
209	0.4318453074
210	0.4313209852
211	0.4304968913
212	0.4299559196
213	0.4294298887
214	0.4285945098
215	0.4279322227
216	0.427453359
217	0.4268843333
218	0.426363945
219	0.4256838163
220	0.4250939687
221	0.4246087074
222	0.4240956306
223	0.4234201511
224	0.42275997
225	0.4222536882
226	0.4216938019
227	0.4209144513
228	0.420282801
229	0.4197748899
230	0.4191030661
231	0.41867582
232	0.4181427956
233	0.4176164865
234	0.4169784387
235	0.4159141382
236	0.4156612555
237	0.4150787195
238	0.4144217968
239	0.41363585
240	0.413203915
241	0.4125683705
242	0.4119429588
243	0.4113721848
244	0.4109397729
245	0.4103744825
246	0.4095507463
247	0.4088895718
248	0.4083544413
249	0.4078371525
250	0.4075065056
251	0.4068284035
252	0.4061500231
253	0.4053118229
254	0.4046442906
255	0.4040504297
256	0.4030747811
257	0.4023598433
258	0.4018803835
259	0.4013637304
260	0.4006076256
261	0.4002668858
262	0.3994934559
263	0.3988112609
264	0.3981275558
265	0.3976554871
266	0.3972776333
267	0.3967250188
268	0.3961581786
269	0.3956129551
270	0.3950261275
271	0.39440159
272	0.3938878775
273	0.3932988644
274	0.3926668962
275	0.3920645714
276	0.3917835553
277	0.3914377689
278	0.3910245895
279	0.3903698126
280	0.3896357218
281	0.3888252974
282	0.3882772923
283	0.387617588
284	0.3872621457
285	0.3865380287
286	0.3864938418
287	0.3856622378
288	0.3854391972
289	0.3850331704
290	0.3843250672
291	0.3840938409
292	0.383689642
293	0.3833129009
294	0.3829667171
295	0.3824648857
296	0.3820623557
297	0.3816041152
298	0.3813629548
299	0.3807932138
300	0.3799455961
301	0.3795762857
302	0.379019777
303	0.3786406517
304	0.3780868053
305	0.3777959744
306	0.3774000009
307	0.3767194351
308	0.3761381308
309	0.3757193089
310	0.3753677607
311	0.3748746316
312	0.3740818501
313	0.3738611142
314	0.3730073373
315	0.3725283146
316	0.3722085158
317	0.3717359702
318	0.3710091114
319	0.3707148234
320	0.3701575994
321	0.3692743778
322	0.3687932094
323	0.3682312965
324	0.3679445585
325	0.3673499823
326	0.3669230938
327	0.3665715059
328	0.3659878969
329	0.3656028509
330	0.3652370771
331	0.3648171425
332	0.364084363
333	0.3635414441
334	0.3631495635
335	0.3626066049
336	0.3621851603
337	0.3618624608
338	0.3614852826
339	0.3610961437
340	0.3608603477
341	0.3604689439
342	0.3601077
343	0.3596338431
344	0.3591742118
345	0.358809948
346	0.3584177891
347	0.3576341867
348	0.3572388093
349	0.3563631376
350	0.3559947411
351	0.3555939198
352	0.3548311392
353	0.3544565042
354	0.353965203
355	0.35349075
356	0.3531119823
357	0.3521331151
358	0.3519245783
359	0.3513774077
360	0.3509449164
361	0.3504464229
362	0.3501646121
363	0.3496387005
364	0.3491858641
365	0.3488279184
366	0.3484690984
367	0.3481700023
368	0.3476734161
369	0.3473068476
370	0.3470436732
371	0.3466893037
372	0.3462227186
373	0.3458698988
374	0.3453208605
375	0.344821016
376	0.3442959388
377	0.3438313007
378	0.3434368372
379	0.3429416418
380	0.342135191
381	0.3418157895
382	0.341460983
383	0.3411389987
384	0.3409388065
385	0.3407583634
386	0.340241909
387	0.3398951689
388	0.3396668434
389	0.3393861453
390	0.3392005761
391	0.3388319413
392	0.338313659
393	0.3380764723
394	0.3379570643
395	0.3376308282
396	0.3369913101
397	0.3365617196
398	0.3362607956
399	0.3356020451
400	0.335325559
401	0.3348516226
402	0.3344215552
403	0.3339368502
404	0.3337624868
405	0.3333733877
406	0.3330539266
407	0.3326510191
408	0.3322258194
409	0.3316198985
410	0.3312113285
411	0.3308965365
412	0.3306100368
413	0.3301496704
414	0.3297995528
415	0.3295755784
416	0.3292753299
417	0.3287454247
418	0.328494211
419	0.3279055158
420	0.3276230097
421	0.3271100918
422	0.326918443
423	0.326612552
424	0.3263192773
425	0.3260524074
426	0.3256547451
427	0.3253952861
428	0.3249648611
429	0.3247439663
430	0.3243360519
431	0.3240556518
432	0.3237058719
433	0.3231242498
434	0.3227703969
435	0.3223452171
436	0.3220941226
437	0.3219115933
438	0.3215864499
439	0.3212976257
440	0.3208897511
441	0.3206233581
442	0.3203223348
443	0.3199539185
444	0.3197469513
445	0.3194991549
446	0.3190396031
447	0.3188067079
448	0.3183253407
449	0.3179983298
450	0.3177670042
451	0.3175522089
452	0.3172798554
453	0.3168854713
454	0.3166063229
455	0.3164247274
456	0.3162940741
457	0.3156547745
458	0.3151759307
459	0.3148842653
460	0.3147117297
461	0.3144039909
